utt000000	幫您轉接給 Rita 邱先生,他的分機是 1399。
utt010934	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt010935	Michael 楊先生 現在不在位子上,需要幫您留言嗎?
utt010936	Sandra 目前正在開會,大約 27 分鐘後回來。
utt010937	Amy 的 Excel 報表 已經準備好,請到 11 樓領取。
utt010938	謝謝您的來電,祝您有美好的一天,再見。
utt010939	Linda 目前正在開會,大約 19 分鐘後回來。
utt010940	幫您轉接給 Cindy 鄭經理,他的分機是 976。
utt010941	Daniel 陳課長 現在不在位子上,需要幫您留言嗎?
utt010942	您的快遞單號是 2014478472,預計明天送達。
utt010943	Charlie 鄭顧問 請您回電,電話是 02-3618-4628。
utt010944	您好,業務部的 Sandra 蘇先生 為您服務。
utt010945	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt010946	您的AI 語音助理設定已完成,如有問題請撥分機 1139。
utt010947	請問是 Michael 先生嗎?黃專員要找您。
utt010948	麻煩您撥打 07-9532-5207 聯絡 Leo 莊助理,謝謝。
utt010949	不好意思,Tony 剛離開,請問要留言給吳專員嗎?
utt010950	Catherine 莊主任 請您回電,電話是 0938-902-553。
utt010951	請問您是要報修 OTP 驗證碼 還是 email?
utt010952	系統顯示您的 USB 帳號需要更新,請聯絡客服部。
utt010953	您的Outlook設定已完成,如有問題請撥分機 2125。
utt010954	請問您的訂單編號是?方便提供一下嗎?編號是 801811。
utt010955	您好,請問要預約 Nancy 專員 的時間嗎?
utt010956	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt010957	Alex 江主任 現在不在位子上,需要幫您留言嗎?
utt010958	請問是 Emily 先生嗎?林顧問要找您。
utt010959	您的快遞單號是 2444479390,預計明天送達。
utt010960	請問是 Charlie 先生嗎?蔡業務要找您。
utt010961	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt010962	不好意思,Wendy 剛離開,請問要留言給林課長嗎?
utt010963	Jack 的 ERP 系統 已經準備好,請到 7 樓領取。
utt010964	Frank 蔡專員 現在不在位子上,需要幫您留言嗎?
utt010965	請問您是要報修 Teams 會議 還是 QR Code?
utt010966	我們已經把 PDF 報價單 寄到您的信箱,請查收。
utt010967	您好,請問要預約 Sam 助理 的時間嗎?
utt010968	幫您轉接給 Oscar 楊主任,請稍候。
utt010969	請問您是要報修 API 介面 還是 VPN?
utt010970	不好意思,Alex 剛離開,請問要留言給曾經理嗎?
utt010971	您的OTP 驗證碼設定已完成,如有問題請撥分機 1583。
utt010972	系統顯示您的 QR Code 帳號需要更新,請聯絡品保部。
utt010973	麻煩您撥打 04-2377-6259 聯絡 Linda 邱專員,謝謝。
utt010974	Tina 蔡課長 請您回電,電話是 0979-578-713。
utt010975	您的快遞單號是 8234917813,預計明天送達。
utt010976	幫您轉接給 Peter 周副理,請稍候。
utt010977	系統顯示您的 Server 主機 帳號需要更新,請聯絡法務部。
utt010978	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt010979	Sophia 的 Excel 報表 已經準備好,請到 2 樓領取。
utt010980	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡品保部。
utt010981	請問您是要報修 CRM 系統 還是 OTP 驗證碼?
utt010982	幫您轉接給 Leo 洪顧問,他的分機是 230。
utt010983	請問是 Henry 先生嗎?江組長要找您。
utt010984	不好意思,Catherine 剛離開,請問要留言給邱主任嗎?
utt010985	麻煩您撥打 0999-574-301 聯絡 Wendy 周協理,謝謝。
utt010986	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt010987	不好意思,Helen 剛離開,請問要留言給林組長嗎?
utt010988	我們已經把 ERP 系統 寄到您的信箱,請查收。
utt010989	您好,請問要預約 Henry 助理 的時間嗎?
utt010990	您好,請問要預約 Sandra 助理 的時間嗎?
utt010991	您撥的分機 397 忙線中,請稍後再撥。
utt010992	您撥的分機 3836 忙線中,請稍後再撥。
utt010993	Charlie 李主任 現在不在位子上,需要幫您留言嗎?
utt010994	請問您要找哪一位?是 Eric 還是 Helen?
utt010995	謝謝您的來電,祝您有美好的一天,再見。
utt010996	請問您的訂單編號是?方便提供一下嗎?編號是 865254。
utt010997	您好,品保部的 Leo 楊專員 為您服務。
utt010998	Joyce 呂經理 請您回電,電話是 0996-704-820。
utt010999	今天的會議改到下午 2 點,地點在 17 樓會議室。
utt011000	請問您要找哪一位?是 Henry 還是 Leo?
utt011001	您好,採購部的 Brian 葉協理 為您服務。
utt011002	系統顯示您的 Server 主機 帳號需要更新,請聯絡資訊部。
utt011003	您的快遞單號是 5845715130,預計明天送達。
utt011004	系統顯示您的 Teams 會議 帳號需要更新,請聯絡業務部。
utt011005	您好,業務部的 Peter 葉先生 為您服務。
utt011006	您撥的分機 9622 忙線中,請稍後再撥。
utt011007	我們已經把 Teams 會議 寄到您的信箱,請查收。
utt011008	幫您轉接給 Frank 洪主任,他的分機是 563。
utt011009	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011010	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011011	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011012	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011013	麻煩您撥打 0977-668-909 聯絡 Helen 江小姐,謝謝。
utt011014	您的快遞單號是 3409138851,預計明天送達。
utt011015	Joyce 謝專員 請您回電,電話是 0997-198-928。
utt011016	您好,這裡是凌華科技,很高興為您服務。
utt011017	系統顯示您的 QR Code 帳號需要更新,請聯絡總務部。
utt011018	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011019	請問您的訂單編號是?方便提供一下嗎?編號是 211318。
utt011020	您好,這裡是中華電信商辦,很高興為您服務。
utt011021	您好,請問要預約 Frank 主任 的時間嗎?
utt011022	謝謝您的來電,祝您有美好的一天,再見。
utt011023	請問是 Victor 先生嗎?王工程師要找您。
utt011024	不好意思,Sam 剛離開,請問要留言給江組長嗎?
utt011025	Amy 目前正在開會,大約 26 分鐘後回來。
utt011026	請問您是要報修 Teams 會議 還是 Zoom 連結?
utt011027	您撥的分機 632 忙線中,請稍後再撥。
utt011028	請問是 Eric 先生嗎?謝顧問要找您。
utt011029	幫您轉接給 Jason 謝助理,他的分機是 404。
utt011030	您的快遞單號是 8258811023,預計明天送達。
utt011031	請問您是要報修 Outlook 還是 Wi-Fi?
utt011032	Nancy 葉專員 請您回電,電話是 06-2516-1881。
utt011033	您的快遞單號是 1426336495,預計明天送達。
utt011034	請問是 Michael 先生嗎?張協理要找您。
utt011035	您的快遞單號是 8488944608,預計明天送達。
utt011036	Tina 廖助理 請您回電,電話是 0972-700-482。
utt011037	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt011038	Jason 目前正在開會,大約 38 分鐘後回來。
utt011039	謝謝您的來電,祝您有美好的一天,再見。
utt011040	請問是 Catherine 先生嗎?洪主任要找您。
utt011041	請問是 Karen 先生嗎?廖課長要找您。
utt011042	謝謝您的來電,祝您有美好的一天,再見。
utt011043	幫您轉接給 David 劉經理,他的分機是 214。
utt011044	Kevin 的 QR Code 已經準備好,請到 10 樓領取。
utt011045	幫您轉接給 Linda 楊副理,請稍候。
utt011046	Ivy 郭先生 現在不在位子上,需要幫您留言嗎?
utt011047	今天的會議改到下午 2 點,地點在 6 樓會議室。
utt011048	請問是 Nancy 先生嗎?鄭工程師要找您。
utt011049	請問是 Eric 先生嗎?楊組長要找您。
utt011050	我們已經把 USB 寄到您的信箱,請查收。
utt011051	請問您要找哪一位?是 Nancy 還是 Tony?
utt011052	幫您轉接給 Victor 葉組長,請稍候。
utt011053	請問您是要報修 AI 語音助理 還是 QR Code?
utt011054	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011055	您好,品保部的 Leo 江襄理 為您服務。
utt011056	Peter 謝襄理 請您回電,電話是 0934-761-449。
utt011057	您好,請問要預約 Ivy 副理 的時間嗎?
utt011058	您的快遞單號是 3680143871,預計明天送達。
utt011059	您的USB設定已完成,如有問題請撥分機 5839。
utt011060	您好,研發部的 Kelly 王經理 為您服務。
utt011061	您的USB設定已完成,如有問題請撥分機 806。
utt011062	您的Wi-Fi設定已完成,如有問題請撥分機 7918。
utt011063	您好,這裡是宏達電子,很高興為您服務。
utt011064	幫您轉接給 Jack 賴襄理,他的分機是 7928。
utt011065	您好,資訊部的 Victor 許助理 為您服務。
utt011066	請問您是要報修 OTP 驗證碼 還是 USB?
utt011067	您好,業務部的 Catherine 黃業務 為您服務。
utt011068	請問您的訂單編號是?方便提供一下嗎?編號是 424860。
utt011069	關於您的 Line 群組 問題,我幫您轉到人資部。
utt011070	系統顯示您的 API 介面 帳號需要更新,請聯絡行銷部。
utt011071	Grace 莊先生 請您回電,電話是 03-9824-9629。
utt011072	Eric 的 email 已經準備好,請到 4 樓領取。
utt011073	謝謝您的來電,祝您有美好的一天,再見。
utt011074	Alex 楊課長 現在不在位子上,需要幫您留言嗎?
utt011075	今天的會議改到下午 1 點,地點在 15 樓會議室。
utt011076	您好,這裡是聯華實業,很高興為您服務。
utt011077	Cindy 江小姐 現在不在位子上,需要幫您留言嗎?
utt011078	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt011079	請問您要找哪一位?是 Grace 還是 Joyce?
utt011080	幫您轉接給 Catherine 葉襄理,他的分機是 4188。
utt011081	幫您轉接給 David 莊小姐,他的分機是 3668。
utt011082	Tina 目前正在開會,大約 22 分鐘後回來。
utt011083	關於您的 ERP 系統 問題,我幫您轉到行銷部。
utt011084	麻煩您撥打 04-8710-3771 聯絡 Brian 蔡工程師,謝謝。
utt011085	關於您的 Outlook 問題,我幫您轉到業務部。
utt011086	請問您的訂單編號是?方便提供一下嗎?編號是 582373。
utt011087	請問是 Oscar 先生嗎?洪經理要找您。
utt011088	Catherine 廖經理 現在不在位子上,需要幫您留言嗎?
utt011089	幫您轉接給 Emily 邱襄理,請稍候。
utt011090	請問您要找哪一位?是 Karen 還是 Kevin?
utt011091	幫您轉接給 David 王組長,他的分機是 502。
utt011092	Peter 江助理 現在不在位子上,需要幫您留言嗎?
utt011093	我們已經把 Line 群組 寄到您的信箱,請查收。
utt011094	請問您要找哪一位?是 Henry 還是 Brian?
utt011095	您好,請問要預約 Victor 組長 的時間嗎?
utt011096	幫您轉接給 Michael 莊組長,請稍候。
utt011097	您好,請問要預約 Brian 副理 的時間嗎?
utt011098	您好,這裡是佳世達,很高興為您服務。
utt011099	您的快遞單號是 8431095119,預計明天送達。
utt011100	系統顯示您的 ERP 系統 帳號需要更新,請聯絡法務部。
utt011101	請問您要找哪一位?是 Nancy 還是 Frank?
utt011102	我們已經把 Server 主機 寄到您的信箱,請查收。
utt011103	請問您是要報修 Outlook 還是 Zoom 連結?
utt011104	Leo 蔡副理 現在不在位子上,需要幫您留言嗎?
utt011105	系統顯示您的 Teams 會議 帳號需要更新,請聯絡技術部。
utt011106	您的快遞單號是 1747086480,預計明天送達。
utt011107	關於您的 QR Code 問題,我幫您轉到技術部。
utt011108	請問是 Jason 先生嗎?謝工程師要找您。
utt011109	幫您轉接給 David 蔡顧問,他的分機是 428。
utt011110	麻煩您撥打 03-1002-8010 聯絡 Kelly 鄭副理,謝謝。
utt011111	幫您轉接給 Catherine 楊顧問,請稍候。
utt011112	Jack 的 OTP 驗證碼 已經準備好,請到 2 樓領取。
utt011113	請問您要找哪一位?是 Andy 還是 Victor?
utt011114	謝謝您的來電,祝您有美好的一天,再見。
utt011115	不好意思,Betty 剛離開,請問要留言給廖工程師嗎?
utt011116	您撥的分機 9855 忙線中,請稍後再撥。
utt011117	Ivy 目前正在開會,大約 22 分鐘後回來。
utt011118	請問是 Sophia 先生嗎?呂先生要找您。
utt011119	請問是 Catherine 先生嗎?蘇顧問要找您。
utt011120	Nancy 蘇小姐 請您回電,電話是 04-7895-6488。
utt011121	不好意思,Kelly 剛離開,請問要留言給林小姐嗎?
utt011122	幫您轉接給 Grace 鄭課長,他的分機是 537。
utt011123	關於您的 CRM 系統 問題,我幫您轉到採購部。
utt011124	請問是 Eric 先生嗎?王先生要找您。
utt011125	幫您轉接給 Steve 張工程師,他的分機是 470。
utt011126	您好,法務部的 Tina 邱副理 為您服務。
utt011127	您撥的分機 232 忙線中,請稍後再撥。
utt011128	Sam 張顧問 現在不在位子上,需要幫您留言嗎?
utt011129	Sam 邱小姐 請您回電,電話是 0943-931-678。
utt011130	系統顯示您的 ERP 系統 帳號需要更新,請聯絡總務部。
utt011131	您的Line 群組設定已完成,如有問題請撥分機 7923。
utt011132	關於您的 CRM 系統 問題,我幫您轉到業務部。
utt011133	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt011134	您撥的分機 128 忙線中,請稍後再撥。
utt011135	您好,研發部的 Leo 劉小姐 為您服務。
utt011136	Frank 黃專員 現在不在位子上,需要幫您留言嗎?
utt011137	幫您轉接給 Emily 洪業務,請稍候。
utt011138	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt011139	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt011140	今天的會議改到下午 3 點,地點在 6 樓會議室。
utt011141	您撥的分機 953 忙線中,請稍後再撥。
utt011142	幫您轉接給 Alex 郭小姐,他的分機是 2669。
utt011143	您的快遞單號是 7592690199,預計明天送達。
utt011144	關於您的 Excel 報表 問題,我幫您轉到業務部。
utt011145	謝謝您的來電,祝您有美好的一天,再見。
utt011146	幫您轉接給 Alex 楊課長,他的分機是 045。
utt011147	請問您要找哪一位?是 Leo 還是 Jack?
utt011148	您好,這裡是鼎新資訊,很高興為您服務。
utt011149	您好,品保部的 Amy 郭小姐 為您服務。
utt011150	今天的會議改到下午 1 點,地點在 4 樓會議室。
utt011151	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt011152	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011153	Leo 的 VPN 已經準備好,請到 9 樓領取。
utt011154	您的快遞單號是 7665756598,預計明天送達。
utt011155	我們已經把 ERP 系統 寄到您的信箱,請查收。
utt011156	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011157	幫您轉接給 Kevin 蔡襄理,請稍候。
utt011158	請問您要找哪一位?是 Amy 還是 Ivy?
utt011159	您的快遞單號是 8342510752,預計明天送達。
utt011160	Catherine 蘇組長 請您回電,電話是 0965-345-261。
utt011161	幫您轉接給 Betty 陳課長,他的分機是 903。
utt011162	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt011163	Victor 的 Wi-Fi 已經準備好,請到 10 樓領取。
utt011164	Grace 王先生 請您回電,電話是 0963-638-612。
utt011165	您撥的分機 4665 忙線中,請稍後再撥。
utt011166	請問是 David 先生嗎?劉副理要找您。
utt011167	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011168	您的快遞單號是 8613047880,預計明天送達。
utt011169	幫您轉接給 Sam 李顧問,請稍候。
utt011170	系統顯示您的 SSD 硬碟 帳號需要更新,請聯絡資訊部。
utt011171	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt011172	請問您的訂單編號是?方便提供一下嗎?編號是 686762。
utt011173	您好,這裡是華碩客服中心,很高興為您服務。
utt011174	您好,總務部的 Michael 郭先生 為您服務。
utt011175	請問您要找哪一位?是 Brian 還是 Peter?
utt011176	幫您轉接給 Betty 洪課長,他的分機是 8292。
utt011177	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt011178	David 的 ERP 系統 已經準備好,請到 2 樓領取。
utt011179	您好,請問要預約 Steve 經理 的時間嗎?
utt011180	請問是 Nancy 先生嗎?王組長要找您。
utt011181	您好,請問要預約 Sandra 業務 的時間嗎?
utt011182	不好意思,Joyce 剛離開,請問要留言給郭經理嗎?
utt011183	您好,客服部的 Cindy 邱專員 為您服務。
utt011184	Alex 目前正在開會,大約 22 分鐘後回來。
utt011185	您好,行銷部的 Andy 曾主任 為您服務。
utt011186	關於您的 CRM 系統 問題,我幫您轉到業務部。
utt011187	您好,業務部的 Kelly 江襄理 為您服務。
utt011188	Kelly 目前正在開會,大約 10 分鐘後回來。
utt011189	請問是 Rita 先生嗎?吳先生要找您。
utt011190	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011191	不好意思,Tina 剛離開,請問要留言給洪襄理嗎?
utt011192	今天的會議改到下午 3 點,地點在 3 樓會議室。
utt011193	Grace 的 CRM 系統 已經準備好,請到 11 樓領取。
utt011194	David 廖顧問 請您回電,電話是 05-8119-7441。
utt011195	您的Server 主機設定已完成,如有問題請撥分機 6214。
utt011196	不好意思,Wendy 剛離開,請問要留言給呂協理嗎?
utt011197	請問您要找哪一位?是 Alex 還是 Jack?
utt011198	請問是 Jerry 先生嗎?葉經理要找您。
utt011199	Nancy 葉組長 現在不在位子上,需要幫您留言嗎?
utt011200	關於您的 SSD 硬碟 問題,我幫您轉到業務部。
utt011201	您撥的分機 376 忙線中,請稍後再撥。
utt011202	請問您是要報修 Wi-Fi 還是 API 介面?
utt011203	您好,這裡是華碩客服中心,很高興為您服務。
utt011204	幫您轉接給 Frank 周協理,他的分機是 800。
utt011205	謝謝您的來電,祝您有美好的一天,再見。
utt011206	Linda 目前正在開會,大約 6 分鐘後回來。
utt011207	您的快遞單號是 1920907070,預計明天送達。
utt011208	我們已經把 VPN 寄到您的信箱,請查收。
utt011209	您的Teams 會議設定已完成,如有問題請撥分機 725。
utt011210	請問您的訂單編號是?方便提供一下嗎?編號是 645558。
utt011211	關於您的 CRM 系統 問題,我幫您轉到行銷部。
utt011212	請問是 Vivian 先生嗎?曾工程師要找您。
utt011213	謝謝您的來電,祝您有美好的一天,再見。
utt011214	請問您是要報修 ERP 系統 還是 email?
utt011215	您好,請問要預約 Henry 業務 的時間嗎?
utt011216	Joyce 曾主任 現在不在位子上,需要幫您留言嗎?
utt011217	請問是 David 先生嗎?莊專員要找您。
utt011218	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt011219	請問您的訂單編號是?方便提供一下嗎?編號是 175381。
utt011220	麻煩您撥打 0953-395-687 聯絡 Leo 蔡工程師,謝謝。
utt011221	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011222	系統顯示您的 Server 主機 帳號需要更新,請聯絡研發部。
utt011223	系統顯示您的 Outlook 帳號需要更新,請聯絡採購部。
utt011224	Sandra 李課長 請您回電,電話是 07-3045-2731。
utt011225	謝謝您的來電,祝您有美好的一天,再見。
utt011226	請問您是要報修 AI 語音助理 還是 Line 群組?
utt011227	請問您要找哪一位?是 Steve 還是 Cindy?
utt011228	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡資訊部。
utt011229	今天的會議改到下午 4 點,地點在 7 樓會議室。
utt011230	幫您轉接給 Sandra 李專員,他的分機是 8912。
utt011231	Helen 林協理 請您回電,電話是 07-1262-4337。
utt011232	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011233	關於您的 PDF 報價單 問題,我幫您轉到人資部。
utt011234	您撥的分機 682 忙線中,請稍後再撥。
utt011235	Betty 郭經理 現在不在位子上,需要幫您留言嗎?
utt011236	今天的會議改到下午 5 點,地點在 16 樓會議室。
utt011237	幫您轉接給 Sophia 許組長,他的分機是 4024。
utt011238	您好,請問要預約 Peter 副理 的時間嗎?
utt011239	您好,這裡是凌華科技,很高興為您服務。
utt011240	關於您的 QR Code 問題,我幫您轉到技術部。
utt011241	不好意思,Steve 剛離開,請問要留言給謝助理嗎?
utt011242	Nancy 謝先生 現在不在位子上,需要幫您留言嗎?
utt011243	您的email設定已完成,如有問題請撥分機 172。
utt011244	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt011245	關於您的 PDF 報價單 問題,我幫您轉到品保部。
utt011246	謝謝您的來電,祝您有美好的一天,再見。
utt011247	您的快遞單號是 2723632680,預計明天送達。
utt011248	您好,這裡是華碩客服中心,很高興為您服務。
utt011249	請問您是要報修 Wi-Fi 還是 USB?
utt011250	您好,請問要預約 Tony 經理 的時間嗎?
utt011251	您撥的分機 200 忙線中,請稍後再撥。
utt011252	您好,研發部的 Brian 許小姐 為您服務。
utt011253	謝謝您的來電,祝您有美好的一天,再見。
utt011254	Nancy 的 SSD 硬碟 已經準備好,請到 9 樓領取。
utt011255	請問您要找哪一位?是 Amy 還是 Catherine?
utt011256	您的快遞單號是 4275456143,預計明天送達。
utt011257	請問您是要報修 Outlook 還是 Server 主機?
utt011258	請問您是要報修 Server 主機 還是 Teams 會議?
utt011259	關於您的 AI 語音助理 問題,我幫您轉到行銷部。
utt011260	Catherine 王業務 現在不在位子上,需要幫您留言嗎?
utt011261	謝謝您的來電,祝您有美好的一天,再見。
utt011262	謝謝您的來電,祝您有美好的一天,再見。
utt011263	Steve 目前正在開會,大約 17 分鐘後回來。
utt011264	我們已經把 Outlook 寄到您的信箱,請查收。
utt011265	今天的會議改到下午 1 點,地點在 2 樓會議室。
utt011266	我們已經把 AI 語音助理 寄到您的信箱,請查收。
utt011267	謝謝您的來電,祝您有美好的一天,再見。
utt011268	幫您轉接給 Kelly 王副理,請稍候。
utt011269	謝謝您的來電,祝您有美好的一天,再見。
utt011270	幫您轉接給 Karen 王專員,請稍候。
utt011271	謝謝您的來電,祝您有美好的一天,再見。
utt011272	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011273	您好,請問要預約 Steve 小姐 的時間嗎?
utt011274	您的快遞單號是 9277133016,預計明天送達。
utt011275	不好意思,Cindy 剛離開,請問要留言給鄭顧問嗎?
utt011276	您的快遞單號是 1466932612,預計明天送達。
utt011277	請問您的訂單編號是?方便提供一下嗎?編號是 974441。
utt011278	麻煩您撥打 0988-596-313 聯絡 Betty 賴顧問,謝謝。
utt011279	您好,請問要預約 Daniel 業務 的時間嗎?
utt011280	請問您的訂單編號是?方便提供一下嗎?編號是 926835。
utt011281	請問您是要報修 PDF 報價單 還是 Wi-Fi?
utt011282	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt011283	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011284	不好意思,Nancy 剛離開,請問要留言給洪協理嗎?
utt011285	幫您轉接給 Tina 陳經理,請稍候。
utt011286	Henry 莊課長 請您回電,電話是 03-7594-6554。
utt011287	您好,這裡是台灣精密,很高興為您服務。
utt011288	Jerry 的 QR Code 已經準備好,請到 12 樓領取。
utt011289	Sam 目前正在開會,大約 35 分鐘後回來。
utt011290	請問您是要報修 PDF 報價單 還是 CRM 系統?
utt011291	謝謝您的來電,祝您有美好的一天,再見。
utt011292	關於您的 OTP 驗證碼 問題,我幫您轉到行銷部。
utt011293	您的Zoom 連結設定已完成,如有問題請撥分機 8690。
utt011294	您的Server 主機設定已完成,如有問題請撥分機 3221。
utt011295	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt011296	關於您的 CRM 系統 問題,我幫您轉到法務部。
utt011297	Linda 廖工程師 請您回電,電話是 06-5278-6949。
utt011298	您好,這裡是凌華科技,很高興為您服務。
utt011299	您的快遞單號是 4488433556,預計明天送達。
utt011300	Catherine 的 AI 語音助理 已經準備好,請到 2 樓領取。
utt011301	Steve 邱小姐 現在不在位子上,需要幫您留言嗎?
utt011302	您撥的分機 131 忙線中,請稍後再撥。
utt011303	幫您轉接給 Cindy 洪課長,他的分機是 9686。
utt011304	不好意思,Kevin 剛離開,請問要留言給莊小姐嗎?
utt011305	不好意思,Leo 剛離開,請問要留言給鄭專員嗎?
utt011306	您撥的分機 463 忙線中,請稍後再撥。
utt011307	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011308	您的ERP 系統設定已完成,如有問題請撥分機 400。
utt011309	不好意思,Peter 剛離開,請問要留言給葉經理嗎?
utt011310	Alex 目前正在開會,大約 39 分鐘後回來。
utt011311	您的快遞單號是 2562003245,預計明天送達。
utt011312	今天的會議改到下午 4 點,地點在 15 樓會議室。
utt011313	請問您的訂單編號是?方便提供一下嗎?編號是 901899。
utt011314	麻煩您撥打 0912-510-299 聯絡 Karen 莊課長,謝謝。
utt011315	您好,行銷部的 Tony 周小姐 為您服務。
utt011316	謝謝您的來電,祝您有美好的一天,再見。
utt011317	您好,這裡是佳世達,很高興為您服務。
utt011318	Jason 目前正在開會,大約 27 分鐘後回來。
utt011319	謝謝您的來電,祝您有美好的一天,再見。
utt011320	您撥的分機 540 忙線中,請稍後再撥。
utt011321	您的快遞單號是 7376741073,預計明天送達。
utt011322	您的VPN設定已完成,如有問題請撥分機 157。
utt011323	今天的會議改到下午 5 點,地點在 11 樓會議室。
utt011324	您好,這裡是中華電信商辦,很高興為您服務。
utt011325	不好意思,Vivian 剛離開,請問要留言給陳先生嗎?
utt011326	您的快遞單號是 6852415146,預計明天送達。
utt011327	Betty 葉主任 請您回電,電話是 0916-362-975。
utt011328	您好,這裡是全球科技,很高興為您服務。
utt011329	您好,客服部的 Charlie 周襄理 為您服務。
utt011330	幫您轉接給 Peter 廖小姐,請稍候。
utt011331	請問您的訂單編號是?方便提供一下嗎?編號是 306527。
utt011332	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011333	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011334	我們已經把 Zoom 連結 寄到您的信箱,請查收。
utt011335	請問是 Andy 先生嗎?郭先生要找您。
utt011336	您撥的分機 4026 忙線中,請稍後再撥。
utt011337	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011338	Leo 林專員 現在不在位子上,需要幫您留言嗎?
utt011339	您的快遞單號是 2409286871,預計明天送達。
utt011340	幫您轉接給 Frank 周顧問,他的分機是 2527。
utt011341	請問您是要報修 Line 群組 還是 Zoom 連結?
utt011342	謝謝您的來電,祝您有美好的一天,再見。
utt011343	請問您要找哪一位?是 Emily 還是 Linda?
utt011344	您好,資訊部的 Jerry 劉襄理 為您服務。
utt011345	Amy 呂先生 請您回電,電話是 05-5435-2797。
utt011346	請問您是要報修 email 還是 Line 群組?
utt011347	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt011348	幫您轉接給 Emily 邱業務,他的分機是 098。
utt011349	Andy 的 SSD 硬碟 已經準備好,請到 3 樓領取。
utt011350	Rita 郭副理 現在不在位子上,需要幫您留言嗎?
utt011351	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt011352	您的快遞單號是 7581414571,預計明天送達。
utt011353	Jason 葉助理 請您回電,電話是 0914-209-571。
utt011354	Joyce 目前正在開會,大約 32 分鐘後回來。
utt011355	Tina 目前正在開會,大約 10 分鐘後回來。
utt011356	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt011357	Ivy 呂組長 請您回電,電話是 04-4617-8270。
utt011358	謝謝您的來電,祝您有美好的一天,再見。
utt011359	Cindy 廖組長 現在不在位子上,需要幫您留言嗎?
utt011360	您的快遞單號是 5958717815,預計明天送達。
utt011361	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011362	Brian 目前正在開會,大約 37 分鐘後回來。
utt011363	您撥的分機 5015 忙線中,請稍後再撥。
utt011364	今天的會議改到下午 3 點,地點在 13 樓會議室。
utt011365	麻煩您撥打 07-2360-1921 聯絡 Charlie 賴顧問,謝謝。
utt011366	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt011367	您撥的分機 734 忙線中,請稍後再撥。
utt011368	請問您是要報修 CRM 系統 還是 Excel 報表?
utt011369	您撥的分機 5134 忙線中,請稍後再撥。
utt011370	Andy 的 SSD 硬碟 已經準備好,請到 6 樓領取。
utt011371	您好,這裡是宏達電子,很高興為您服務。
utt011372	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt011373	請問是 Emily 先生嗎?廖協理要找您。
utt011374	謝謝您的來電,祝您有美好的一天,再見。
utt011375	請問是 Leo 先生嗎?鄭小姐要找您。
utt011376	謝謝您的來電,祝您有美好的一天,再見。
utt011377	您的快遞單號是 2803739895,預計明天送達。
utt011378	請問您是要報修 OTP 驗證碼 還是 email?
utt011379	我們已經把 USB 寄到您的信箱,請查收。
utt011380	我們已經把 Wi-Fi 寄到您的信箱,請查收。
